V160001,dislikeDems,rephatesdems,demhatesreps
302421,THE HEALTH CARE REFORM//ALOT OF THE HUMAN SERVICE PROGRAMS WELFARE AND CHILD CARE ASSISTANCE//,1,0
302443,they tend to be more socialist than democratic,1,0
302445,I feel like they are dihonest and self serving//,1,0
302450,more government//,1,0
302462,,1,0
302463,THEY HAVE ALREADY PUT US IN THIS HOLE//,1,0
302469,"Number one would be raising taxes as a solution.  Paying for more things without a plan.  I don't like their wild ideas.  I would like a little more thought in how to solve these issues.  I don't like the fact that they aren't taking care of our military.  They are having trouble recruiting people, and the VA hospitals are in disarray.",1,0
302470,"I think they want to make it more of a socialist country handing everything out rather than making people work and they havent doen anything about our borders, and they let the debt go up to high.//",1,0
302477,I feel that thye are distrusting. And they cover up for big mistakes and decieving ways.//They seem to be more open to openess of all kinds of religion and sexual openess & the morals of the country.,1,0
302480,PROGRESSIVE MONMENT AND LIEBERIL,1,0
302513,FISOCALLLY IRRESPONIBLE DEFECIT SPENDING. HIGHER TAXES. WASTEFUL OF MY TAX DOLLARS. MORE CORRUPT AS THE MONEY FOR THEIR CAMPAIGNES AND EVENTUALLY WILL HAVE TO ASSIS IN THEIR CAMPAIGN FUNDING.  NOT CONCERNED ABOUT TAX PAYER.//,1,0
302527,"SENSE OF ENTITLEMENT,AND SENSE OF SHARING OUR WEALTH AND SHRING OUR WEALTH WITH EVERYONE\\",1,0
302531,"I don't like they have increased about government spending, their stance on abortion. Don't like big  government.//.",1,0
302532,Dont agree with their philoshies on taxing and economic principles. As a gun owner I dont like their attempts to limit gun rights//,1,0
